,0,1,2,3,4,5,6,7,8,9
23,1143.0,1081,1052.0,1003.0,946.0,904.0,925.0,956.0,987.0,1003.0
24,1111.0,1119,1034.0,992.0,907.0,964.0,913.0,1000.0,921.0,1039.0
25,1043.0,1057,1058.0,994.0,941.0,928.0,955.0,964.0,976.0,1084.0
26,1094.0,1049,980.0,1037.0,931.0,939.0,967.0,960.0,1020.0,1023.0
27,1096.0,1039,1007.0,993.0,984.0,925.0,935.0,960.0,1050.0,1011.0
28,1073.0,1030,1021.0,993.0,966.0,929.0,932.0,1013.0,998.0,1045.0
29,1064.0,1045,1005.0,1000.0,964.0,924.0,962.0,1004.0,1010.0,1022.0
30,1028.0,1019,1030.0,967.0,987.0,965.0,953.0,991.0,1011.0,1049.0
31,1043.0,989,1020.0,997.0,992.0,1003.0,947.0,967.0,1014.0,1028.0
32,1037.0,1081,954.0,956.0,1006.0,987.0,964.0,995.0,999.0,1021.0
33,1070.0,1018,1018.0,953.0,1017.0,937.0,1001.0,961.0,1025.0,1000.0
34,1023.0,1033,996.0,981.0,973.0,959.0,988.0,1056.0,981.0,1010.0
35,1052.0,1046,920.0,993.0,1033.0,932.0,980.0,988.0,1061.0,995.0
36,1045.0,961,1059.0,934.0,1003.0,990.0,945.0,1054.0,994.0,1015.0
37,1010.0,1047,961.0,1043.0,930.0,954.0,1029.0,1013.0,1036.0,977.0
38,1040.0,959,1014.0,977.0,963.0,1013.0,960.0,1040.0,1005.0,1029.0
39,1024.0,1006,964.0,1031.0,965.0,972.0,1002.0,1012.0,1011.0,1013.0
40,1019.0,977,962.0,1052.0,1020.0,947.0,988.0,1037.0,991.0,1007.0
41,983.0,1024,1013.0,948.0,1055.0,983.0,973.0,1010.0,993.0,1018.0
42,1055.0,994,1034.0,996.0,1003.0,978.0,991.0,1017.0,948.0,984.0
43,1025.0,1002,1032.0,1042.0,949.0,985.0,1002.0,1020.0,972.0,971.0
44,1022.0,1007,1030.0,1029.0,986.0,949.0,994.0,1014.0,993.0,976.0
45,988.0,1008,1035.0,1008.0,1011.0,948.0,965.0,1054.0,957.0,1026.0
46,992.0,1006,1016.0,1025.0,986.0,988.0,985.0,966.0,1033.0,1003.0
47,1007.0,996,1037.0,1032.0,988.0,977.0,951.0,1036.0,1004.0,972.0
48,982.0,968,1054.0,1013.0,1024.0,966.0,1001.0,1011.0,957.0,1024.0
49,973.0,990,1036.0,1037.0,934.0,1028.0,1004.0,970.0,1024.0,1004.0
50,1015.0,1016,983.0,1001.0,1033.0,982.0,997.0,1038.0,970.0,965.0
51,1008.0,1015,989.0,1018.0,1000.0,997.0,1001.0,996.0,944.0,1032.0
52,1055.0,1013,967.0,986.0,1014.0,998.0,1007.0,958.0,1002.0,1000.0
53,1029.0,1020,951.0,983.0,1024.0,994.0,1001.0,1012.0,934.0,1052.0
54,1057.0,1012,1015.0,995.0,1015.0,950.0,1044.0,943.0,988.0,981.0
55,990.0,1065,1017.0,978.0,991.0,993.0,1017.0,947.0,949.0,1053.0
56,1000.0,1048,1045.0,953.0,973.0,973.0,1008.0,955.0,1012.0,1033.0
57,1039.0,1073,998.0,959.0,1003.0,946.0,1012.0,966.0,991.0,1013.0
58,1006.0,1053,1026.0,969.0,1013.0,987.0,920.0,1001.0,998.0,1027.0
59,1052.0,1030,997.0,1019.0,953.0,1007.0,956.0,929.0,1028.0,1029.0
60,1015.0,1050,1023.0,970.0,1009.0,971.0,945.0,977.0,972.0,1068.0
61,1058.0,1049,1019.0,986.0,971.0,980.0,989.0,916.0,1053.0,979.0
62,1082.0,1023,1014.0,995.0,976.0,963.0,949.0,998.0,931.0,1069.0
63,1039.0,1030,988.0,985.0,1006.0,971.0,962.0,998.0,1000.0,1021.0
64,1041.0,986,1062.0,965.0,993.0,975.0,958.0,1029.0,981.0,1010.0
65,1035.0,1040,986.0,1007.0,965.0,952.0,1025.0,995.0,978.0,1017.0
66,1034.0,1044,1016.0,1012.0,963.0,992.0,1012.0,995.0,950.0,982.0
67,1000.0,1029,993.0,995.0,1018.0,969.0,961.0,1050.0,979.0,1006.0
68,1004.0,1037,1029.0,968.0,1005.0,959.0,1014.0,984.0,1061.0,939.0
69,974.0,1027,1041.0,940.0,1001.0,989.0,965.0,1003.0,1050.0,1010.0
70,989.0,1007,1019.0,1018.0,975.0,1000.0,951.0,1040.0,1008.0,993.0
71,991.0,1002,1021.0,983.0,1013.0,987.0,1011.0,937.0,1046.0,1009.0
72,978.0,1050,1005.0,1004.0,987.0,1011.0,1006.0,973.0,1005.0,981.0
73,985.0,996,1041.0,960.0,1007.0,1019.0,1003.0,999.0,981.0,1009.0
74,938.0,1081,943.0,1040.0,992.0,975.0,1015.0,1018.0,963.0,1035.0
75,1002.0,995,1022.0,986.0,987.0,1019.0,970.0,1024.0,1030.0,965.0
76,978.0,1031,995.0,972.0,999.0,1026.0,1018.0,981.0,993.0,1007.0
77,1012.0,1009,1013.0,953.0,1006.0,1051.0,1004.0,973.0,1002.0,977.0
78,1003.0,956,1070.0,929.0,1088.0,1021.0,923.0,989.0,1023.0,998.0
79,975.0,1039,974.0,1029.0,1019.0,972.0,993.0,974.0,999.0,1026.0
80,996.0,1041,968.0,1047.0,1025.0,981.0,973.0,975.0,978.0,1016.0
81,1056.0,1013,1010.0,1013.0,1016.0,1011.0,984.0,975.0,952.0,970.0
82,980.0,1017,997.0,1053.0,1021.0,1022.0,959.0,967.0,982.0,1002.0
83,1001.0,981,1077.0,1022.0,991.0,1045.0,948.0,953.0,985.0,997.0
84,981.0,991,1072.0,996.0,1020.0,1042.0,1004.0,938.0,947.0,1009.0
85,1008.0,1017,984.0,1031.0,1030.0,1031.0,993.0,931.0,1000.0,975.0
86,993.0,965,1035.0,1013.0,1072.0,1005.0,950.0,987.0,978.0,1002.0
87,942.0,1016,1007.0,1039.0,1020.0,1015.0,978.0,952.0,1002.0,1029.0
88,948.0,990,1037.0,1052.0,1002.0,1002.0,917.0,1008.0,1056.0,988.0
89,1000.0,984,1025.0,1047.0,1017.0,966.0,1011.0,956.0,980.0,1014.0
90,1004.0,1020,1025.0,1032.0,966.0,1007.0,1002.0,971.0,1008.0,965.0
91,991.0,989,1034.0,1036.0,962.0,992.0,1035.0,975.0,972.0,1014.0
92,1019.0,992,998.0,1053.0,962.0,1009.0,992.0,986.0,1009.0,980.0
93,1030.0,1006,981.0,1019.0,991.0,980.0,1006.0,984.0,1021.0,982.0
94,1055.0,1027,1006.0,980.0,1014.0,958.0,997.0,1035.0,969.0,959.0
95,1016.0,1026,984.0,1015.0,982.0,997.0,969.0,997.0,997.0,1017.0
96,1050.0,1005,1029.0,977.0,962.0,1022.0,996.0,973.0,1012.0,974.0
97,1057.0,1076,980.0,954.0,990.0,1002.0,1013.0,1005.0,951.0,972.0
98,1044.0,1029,1030.0,970.0,988.0,997.0,1015.0,995.0,942.0,990.0
99,1035.0,1037,1018.0,1013.0,989.0,973.0,985.0,1026.0,942.0,982.0
100,1015.0,1011,1021.0,1018.0,992.0,999.0,988.0,1007.0,931.0,1018.0
